productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
E50 2022,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,12,0,0,,FALSE,FALSE
E51 1077,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,2,0,,FALSE,FALSE
E51 1165,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E51 1169,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E51 2040,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E51 2041,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,13,1,0,,FALSE,FALSE
E52 1135,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E52 2035,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,1,0,,FALSE,FALSE
E52 2036,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E52 2039,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,2,0,,FALSE,FALSE
E53 2033,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,TRUE,FALSE
E53 2034,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,TRUE,FALSE
E53 2053,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
E53 2060,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E54 2043,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E54 2044,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
E54 2045,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E54 2046,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,13,0,0,,FALSE,FALSE
E56 2054,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E56 2055,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E56 2056,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E56 2057,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,2,0,,FALSE,FALSE
E57 2058,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E58 616,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,0,0,,FALSE,FALSE
E58 626,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
E58 627,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E58 628,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E58 629,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E58 630,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E58 631,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
E58 632,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
